SjS;skin diseases;skin manifestations
Total_number_of_articles;40301
>29651444;First_Filter=PASSED;Last_filter=FAILED
>29636107;First_Filter=PASSED;Last_filter=FAILED
>29573443;First_Filter=PASSED;Last_filter=FAILED
>29559400;First_Filter=PASSED;Last_filter=FAILED
>29505509;First_Filter=PASSED;Last_filter=FAILED
>29501520;First_Filter=PASSED;Last_filter=FAILED
>29400697;First_Filter=PASSED;Last_filter=FAILED
>29354711;First_Filter=PASSED;Last_filter=FAILED
>29310768;First_Filter=PASSED;Last_filter=FAILED
>29159901;First_Filter=PASSED;Last_filter=FAILED
>29105735;First_Filter=PASSED;Last_filter=FAILED
>29076438;First_Filter=PASSED;Last_filter=FAILED
>29027197;First_Filter=PASSED;Last_filter=FAILED
>28940568;First_Filter=PASSED;Last_filter=FAILED
>28796198;First_Filter=PASSED;Last_filter=FAILED
>28749897;First_Filter=PASSED;Last_filter=FAILED
>28730261;First_Filter=PASSED;Last_filter=FAILED
>28689166;First_Filter=PASSED;Last_filter=FAILED
>28648978;First_Filter=PASSED;Last_filter=FAILED
>28618376;First_Filter=PASSED;Last_filter=FAILED
>28580160;First_Filter=PASSED;Last_filter=FAILED
>28577951;First_Filter=PASSED;Last_filter=FAILED
>28570299;First_Filter=PASSED;Last_filter=FAILED
>28552676;First_Filter=PASSED;Last_filter=FAILED
>28541871;First_Filter=PASSED;Last_filter=FAILED
>28509689;First_Filter=PASSED;Last_filter=FAILED
>28499754;First_Filter=PASSED;Last_filter=FAILED
>28499410;First_Filter=PASSED;Last_filter=FAILED
>28488978;First_Filter=PASSED;Last_filter=FAILED
>28483310;First_Filter=PASSED;Last_filter=FAILED
>28482929;First_Filter=PASSED;Last_filter=FAILED
>28469101;First_Filter=PASSED;Last_filter=FAILED
>28450179;First_Filter=PASSED;Last_filter=FAILED
>28439852;First_Filter=PASSED;Last_filter=FAILED
>28412864;First_Filter=PASSED;Last_filter=FAILED
>28403057;First_Filter=PASSED;Last_filter=FAILED
>28391407;First_Filter=PASSED;Last_filter=FAILED
>28329382;First_Filter=PASSED;Last_filter=FAILED
>28316191;First_Filter=FAILED;Last_filter=FAILED
>28296986;First_Filter=PASSED;Last_filter=FAILED
>28292335;First_Filter=PASSED;Last_filter=FAILED
>28285784;First_Filter=PASSED;Last_filter=FAILED
>28278336;First_Filter=PASSED;Last_filter=FAILED
>28239770;First_Filter=PASSED;Last_filter=FAILED
>28221394;First_Filter=FAILED;Last_filter=FAILED
>28202399;First_Filter=PASSED;Last_filter=FAILED
>28137210;First_Filter=PASSED;Last_filter=FAILED
>28100913;First_Filter=PASSED;Last_filter=FAILED
>28100272;First_Filter=PASSED;Last_filter=FAILED
>28084616;First_Filter=PASSED;Last_filter=FAILED
>28075032;First_Filter=PASSED;Last_filter=FAILED
>28062682;First_Filter=PASSED;Last_filter=FAILED
>28060039;First_Filter=PASSED;Last_filter=FAILED
>27990674;First_Filter=PASSED;Last_filter=FAILED
>27941382;First_Filter=PASSED;Last_filter=FAILED
>27916277;First_Filter=PASSED;Last_filter=FAILED
>27913699;First_Filter=PASSED;Last_filter=FAILED
>27902746;First_Filter=PASSED;Last_filter=FAILED
>27898730;First_Filter=PASSED;Last_filter=FAILED
>27888155;First_Filter=PASSED;Last_filter=FAILED
>27868282;First_Filter=PASSED;Last_filter=FAILED
>27835661;First_Filter=PASSED;Last_filter=FAILED
>27652522;First_Filter=PASSED;Last_filter=FAILED
>27106261;First_Filter=PASSED;Last_filter=FAILED
>27087170;First_Filter=PASSED;Last_filter=FAILED
>27779083;First_Filter=PASSED;Last_filter=FAILED
>27585215;First_Filter=PASSED;Last_filter=FAILED
>27717620;First_Filter=PASSED;Last_filter=FAILED
>27656858;First_Filter=PASSED;Last_filter=FAILED
>27650525;First_Filter=PASSED;Last_filter=FAILED
>27647252;First_Filter=FAILED;Last_filter=FAILED
>27580724;First_Filter=FAILED;Last_filter=FAILED
>27560351;First_Filter=PASSED;Last_filter=FAILED
>27554629;First_Filter=PASSED;Last_filter=FAILED
>27544047;First_Filter=PASSED;Last_filter=FAILED
>27497618;First_Filter=PASSED;Last_filter=FAILED
>27487073;First_Filter=PASSED;Last_filter=FAILED
>27448063;First_Filter=FAILED;Last_filter=FAILED
>27442317;First_Filter=PASSED;Last_filter=FAILED
>27386788;First_Filter=PASSED;Last_filter=FAILED
>27380605;First_Filter=PASSED;Last_filter=FAILED
>27369738;First_Filter=PASSED;Last_filter=FAILED
>27350163;First_Filter=PASSED;Last_filter=FAILED
>27297404;First_Filter=PASSED;Last_filter=FAILED
>27292197;First_Filter=PASSED;Last_filter=FAILED
>27287422;First_Filter=PASSED;Last_filter=FAILED
>27287213;First_Filter=PASSED;Last_filter=FAILED
>27243418;First_Filter=PASSED;Last_filter=FAILED
>27217070;First_Filter=PASSED;Last_filter=FAILED
>27197323;First_Filter=FAILED;Last_filter=FAILED
>27156746;First_Filter=PASSED;Last_filter=FAILED
>27154258;First_Filter=PASSED;Last_filter=FAILED
>27143652;First_Filter=PASSED;Last_filter=FAILED
>27124779;First_Filter=PASSED;Last_filter=FAILED
>27096699;First_Filter=PASSED;Last_filter=FAILED
>27089110;First_Filter=PASSED;Last_filter=FAILED
>27078005;First_Filter=PASSED;Last_filter=FAILED
>27060780;First_Filter=PASSED;Last_filter=FAILED
>27040849;First_Filter=PASSED;Last_filter=FAILED
>27039263;First_Filter=PASSED;Last_filter=FAILED
>28911598;First_Filter=PASSED;Last_filter=FAILED
>27027537;First_Filter=PASSED;Last_filter=FAILED
>27023091;First_Filter=PASSED;Last_filter=FAILED
>27018234;First_Filter=PASSED;Last_filter=FAILED
>27003892;First_Filter=PASSED;Last_filter=FAILED
>27001652;First_Filter=PASSED;Last_filter=FAILED
>26998294;First_Filter=PASSED;Last_filter=FAILED
>26976263;First_Filter=PASSED;Last_filter=FAILED
>26964396;First_Filter=FAILED;Last_filter=FAILED
>26959145;First_Filter=PASSED;Last_filter=FAILED
>26959133;First_Filter=PASSED;Last_filter=FAILED
>26951484;First_Filter=PASSED;Last_filter=FAILED
>26929290;First_Filter=PASSED;Last_filter=FAILED
>26929285;First_Filter=PASSED;Last_filter=FAILED
>26928377;First_Filter=PASSED;Last_filter=FAILED
>26927288;First_Filter=PASSED;Last_filter=FAILED
>26918554;First_Filter=PASSED;Last_filter=FAILED
>26903523;First_Filter=PASSED;Last_filter=FAILED
>26860621;First_Filter=PASSED;Last_filter=FAILED
>26847613;First_Filter=PASSED;Last_filter=FAILED
>26844223;First_Filter=PASSED;Last_filter=FAILED
>26837942;First_Filter=PASSED;Last_filter=FAILED
>26831946;First_Filter=FAILED;Last_filter=FAILED
>26829569;First_Filter=PASSED;Last_filter=FAILED
>26810444;First_Filter=PASSED;Last_filter=FAILED
>26808056;First_Filter=PASSED;Last_filter=FAILED
>26769645;First_Filter=PASSED;Last_filter=FAILED
>26757493;First_Filter=PASSED;Last_filter=FAILED
>26742396;First_Filter=PASSED;Last_filter=FAILED
>26687641;First_Filter=PASSED;Last_filter=FAILED
>26686968;First_Filter=PASSED;Last_filter=FAILED
>26685871;First_Filter=PASSED;Last_filter=FAILED
>26666483;First_Filter=PASSED;Last_filter=FAILED
>26662551;First_Filter=PASSED;Last_filter=FAILED
>26659455;First_Filter=PASSED;Last_filter=FAILED
>26655481;First_Filter=PASSED;Last_filter=FAILED
>26632391;First_Filter=PASSED;Last_filter=FAILED
>26594865;First_Filter=PASSED;Last_filter=FAILED
>26594858;First_Filter=PASSED;Last_filter=FAILED
>26582440;First_Filter=PASSED;Last_filter=FAILED
>26581536;First_Filter=FAILED;Last_filter=FAILED
>26555663;First_Filter=PASSED;Last_filter=FAILED
>26555593;First_Filter=PASSED;Last_filter=FAILED
>26555585;First_Filter=PASSED;Last_filter=FAILED
>26553194;First_Filter=PASSED;Last_filter=FAILED
>26549248;First_Filter=PASSED;Last_filter=FAILED
>26499102;First_Filter=PASSED;Last_filter=FAILED
>26490229;First_Filter=PASSED;Last_filter=FAILED
>26488629;First_Filter=PASSED;Last_filter=FAILED
>26488421;First_Filter=PASSED;Last_filter=FAILED
>26481651;First_Filter=PASSED;Last_filter=FAILED
>26476256;First_Filter=PASSED;Last_filter=FAILED
>26448174;First_Filter=PASSED;Last_filter=FAILED
>26439084;First_Filter=PASSED;Last_filter=FAILED
>26416341;First_Filter=PASSED;Last_filter=FAILED
>26394757;First_Filter=PASSED;Last_filter=FAILED
>26387869;First_Filter=PASSED;Last_filter=FAILED
>26382898;First_Filter=PASSED;Last_filter=FAILED
>26327458;First_Filter=PASSED;Last_filter=FAILED
>26321400;First_Filter=PASSED;Last_filter=FAILED
>26267659;First_Filter=PASSED;Last_filter=FAILED
>26239591;First_Filter=PASSED;Last_filter=FAILED
>26227567;First_Filter=PASSED;Last_filter=FAILED
>26221907;First_Filter=PASSED;Last_filter=FAILED
>26218033;First_Filter=PASSED;Last_filter=FAILED
>26216320;First_Filter=PASSED;Last_filter=FAILED
>26194400;First_Filter=PASSED;Last_filter=FAILED
>26170788;First_Filter=PASSED;Last_filter=FAILED
>26165242;First_Filter=PASSED;Last_filter=FAILED
>26142408;First_Filter=PASSED;Last_filter=FAILED
>26110827;First_Filter=PASSED;Last_filter=FAILED
>26110722;First_Filter=PASSED;Last_filter=FAILED
>26110678;First_Filter=PASSED;Last_filter=FAILED
>26089185;First_Filter=PASSED;Last_filter=FAILED
>26086150;First_Filter=PASSED;Last_filter=FAILED
>26076576;First_Filter=FAILED;Last_filter=FAILED
>26067314;First_Filter=PASSED;Last_filter=FAILED
>26061325;First_Filter=PASSED;Last_filter=FAILED
>25982480;First_Filter=PASSED;Last_filter=FAILED
>25981121;First_Filter=PASSED;Last_filter=FAILED
>25981113;First_Filter=PASSED;Last_filter=FAILED
>25979679;First_Filter=PASSED;Last_filter=FAILED
>25970075;First_Filter=PASSED;Last_filter=FAILED
>25948299;First_Filter=FAILED;Last_filter=FAILED
>25946710;First_Filter=PASSED;Last_filter=FAILED
>25939709;First_Filter=PASSED;Last_filter=PASSED
>25933949;First_Filter=PASSED;Last_filter=FAILED
>25922474;First_Filter=PASSED;Last_filter=FAILED
>25918017;First_Filter=PASSED;Last_filter=FAILED
>25914229;First_Filter=PASSED;Last_filter=FAILED
>25913750;First_Filter=PASSED;Last_filter=FAILED
>25909242;First_Filter=PASSED;Last_filter=FAILED
>25896732;First_Filter=FAILED;Last_filter=FAILED
>25876064;First_Filter=PASSED;Last_filter=FAILED
>25865527;First_Filter=PASSED;Last_filter=FAILED
>25811541;First_Filter=PASSED;Last_filter=FAILED
>25777978;First_Filter=PASSED;Last_filter=FAILED
>25775161;First_Filter=PASSED;Last_filter=FAILED
>25743146;First_Filter=FAILED;Last_filter=FAILED
>25731348;First_Filter=FAILED;Last_filter=FAILED
>25724626;First_Filter=PASSED;Last_filter=FAILED
>25714931;First_Filter=PASSED;Last_filter=FAILED
>25672763;First_Filter=PASSED;Last_filter=FAILED
>25671761;First_Filter=PASSED;Last_filter=FAILED
>25612120;First_Filter=PASSED;Last_filter=FAILED
>25590879;First_Filter=FAILED;Last_filter=FAILED
>25579087;First_Filter=PASSED;Last_filter=FAILED
>25559731;First_Filter=PASSED;Last_filter=FAILED
>25548516;First_Filter=PASSED;Last_filter=FAILED
>25547780;First_Filter=PASSED;Last_filter=FAILED
>25535143;First_Filter=PASSED;Last_filter=FAILED
>25534407;First_Filter=PASSED;Last_filter=FAILED
>25533561;First_Filter=FAILED;Last_filter=FAILED
>25518798;First_Filter=PASSED;Last_filter=FAILED
>25506119;First_Filter=PASSED;Last_filter=FAILED
>25501779;First_Filter=PASSED;Last_filter=FAILED
>25496398;First_Filter=PASSED;Last_filter=FAILED
>25495410;First_Filter=PASSED;Last_filter=FAILED
>25433836;First_Filter=PASSED;Last_filter=FAILED
>25428396;First_Filter=PASSED;Last_filter=FAILED
>25424207;First_Filter=PASSED;Last_filter=FAILED
>25424206;First_Filter=PASSED;Last_filter=FAILED
>25422656;First_Filter=PASSED;Last_filter=FAILED
>25406459;First_Filter=PASSED;Last_filter=FAILED
>25394955;First_Filter=PASSED;Last_filter=FAILED
>25394209;First_Filter=PASSED;Last_filter=FAILED
>25385069;First_Filter=PASSED;Last_filter=FAILED
>25371640;First_Filter=PASSED;Last_filter=FAILED
>25368980;First_Filter=PASSED;Last_filter=FAILED
>25359191;First_Filter=PASSED;Last_filter=FAILED
>25355835;First_Filter=PASSED;Last_filter=FAILED
>25355273;First_Filter=PASSED;Last_filter=FAILED
>25327504;First_Filter=PASSED;Last_filter=FAILED
>25305458;First_Filter=PASSED;Last_filter=FAILED
>25298592;First_Filter=PASSED;Last_filter=FAILED
>25282350;First_Filter=FAILED;Last_filter=FAILED
>25282251;First_Filter=PASSED;Last_filter=FAILED
>25266342;First_Filter=PASSED;Last_filter=FAILED
>25262319;First_Filter=PASSED;Last_filter=FAILED
>25249808;First_Filter=PASSED;Last_filter=FAILED
>25169759;First_Filter=PASSED;Last_filter=FAILED
>25158788;First_Filter=PASSED;Last_filter=FAILED
>25115449;First_Filter=PASSED;Last_filter=FAILED
>25102918;First_Filter=PASSED;Last_filter=FAILED
>25099678;First_Filter=PASSED;Last_filter=FAILED
>25087214;First_Filter=PASSED;Last_filter=FAILED
>25070588;First_Filter=PASSED;Last_filter=FAILED
>25039910;First_Filter=PASSED;Last_filter=FAILED
>25037254;First_Filter=PASSED;Last_filter=FAILED
>25035049;First_Filter=PASSED;Last_filter=FAILED
>25031270;First_Filter=PASSED;Last_filter=FAILED
>25017673;First_Filter=PASSED;Last_filter=FAILED
>24990284;First_Filter=PASSED;Last_filter=FAILED
>24976694;First_Filter=PASSED;Last_filter=FAILED
>24949577;First_Filter=PASSED;Last_filter=FAILED
>24942517;First_Filter=PASSED;Last_filter=FAILED
>24933358;First_Filter=PASSED;Last_filter=FAILED
>24911535;First_Filter=PASSED;Last_filter=FAILED
>24901010;First_Filter=PASSED;Last_filter=FAILED
>24888401;First_Filter=PASSED;Last_filter=FAILED
>24879396;First_Filter=PASSED;Last_filter=FAILED
>24871931;First_Filter=PASSED;Last_filter=FAILED
>24861996;First_Filter=PASSED;Last_filter=FAILED
>24820799;First_Filter=FAILED;Last_filter=FAILED
>24820048;First_Filter=PASSED;Last_filter=FAILED
>24819646;First_Filter=PASSED;Last_filter=FAILED
>24819642;First_Filter=PASSED;Last_filter=FAILED
>24815085;First_Filter=PASSED;Last_filter=FAILED
>24813841;First_Filter=PASSED;Last_filter=FAILED
>24806465;First_Filter=PASSED;Last_filter=FAILED
>24792490;First_Filter=PASSED;Last_filter=FAILED
>24792460;First_Filter=FAILED;Last_filter=FAILED
>24781922;First_Filter=PASSED;Last_filter=FAILED
>24749495;First_Filter=PASSED;Last_filter=FAILED
>24737845;First_Filter=PASSED;Last_filter=FAILED
>24732692;First_Filter=PASSED;Last_filter=FAILED
>24716778;First_Filter=PASSED;Last_filter=FAILED
>24699156;First_Filter=PASSED;Last_filter=FAILED
>24697283;First_Filter=PASSED;Last_filter=FAILED
>24695805;First_Filter=PASSED;Last_filter=FAILED
>24694779;First_Filter=PASSED;Last_filter=FAILED
>24687387;First_Filter=PASSED;Last_filter=FAILED
>24673330;First_Filter=PASSED;Last_filter=FAILED
>24663249;First_Filter=PASSED;Last_filter=FAILED
>24662561;First_Filter=PASSED;Last_filter=FAILED
>24628777;First_Filter=PASSED;Last_filter=FAILED
>24623051;First_Filter=FAILED;Last_filter=FAILED
>24600669;First_Filter=PASSED;Last_filter=FAILED
>24599767;First_Filter=PASSED;Last_filter=FAILED
>24588409;First_Filter=PASSED;Last_filter=FAILED
>24565765;First_Filter=PASSED;Last_filter=FAILED
>24550598;First_Filter=PASSED;Last_filter=FAILED
>24533526;First_Filter=PASSED;Last_filter=FAILED
