machine learning;SjS;big data
Total_number_of_articles;504
>23254332;First_Filter=PASSED;Last_filter=FAILED
>29750902;First_Filter=PASSED;Last_filter=FAILED
>29749590;First_Filter=PASSED;Last_filter=FAILED
>29734699;First_Filter=PASSED;Last_filter=FAILED
>29728226;First_Filter=PASSED;Last_filter=FAILED
>29726357;First_Filter=PASSED;Last_filter=FAILED
>29725149;First_Filter=PASSED;Last_filter=FAILED
>29721786;First_Filter=PASSED;Last_filter=FAILED
>29721321;First_Filter=PASSED;Last_filter=FAILED
>29719815;First_Filter=PASSED;Last_filter=FAILED
>29680357;First_Filter=PASSED;Last_filter=FAILED
>29679305;First_Filter=PASSED;Last_filter=FAILED
>29679160;First_Filter=PASSED;Last_filter=FAILED
>29679026;First_Filter=PASSED;Last_filter=FAILED
>29678694;First_Filter=PASSED;Last_filter=FAILED
>29678027;First_Filter=PASSED;Last_filter=FAILED
>29670613;First_Filter=PASSED;Last_filter=FAILED
>29670502;First_Filter=PASSED;Last_filter=FAILED
>29665858;First_Filter=PASSED;Last_filter=FAILED
>29656461;First_Filter=PASSED;Last_filter=FAILED
>29655946;First_Filter=PASSED;Last_filter=FAILED
>29625355;First_Filter=PASSED;Last_filter=FAILED
>29603063;First_Filter=PASSED;Last_filter=FAILED
>29595902;First_Filter=PASSED;Last_filter=FAILED
>29594204;First_Filter=PASSED;Last_filter=FAILED
>29594137;First_Filter=PASSED;Last_filter=FAILED
>29590361;First_Filter=PASSED;Last_filter=FAILED
>29589567;First_Filter=PASSED;Last_filter=FAILED
>29572028;First_Filter=PASSED;Last_filter=FAILED
>29569152;First_Filter=PASSED;Last_filter=FAILED
>29527298;First_Filter=PASSED;Last_filter=FAILED
>29554487;First_Filter=PASSED;Last_filter=FAILED
>29547986;First_Filter=PASSED;Last_filter=FAILED
>29538103;First_Filter=PASSED;Last_filter=FAILED
>29536640;First_Filter=PASSED;Last_filter=FAILED
>29536444;First_Filter=PASSED;Last_filter=FAILED
>29536440;First_Filter=PASSED;Last_filter=FAILED
>29532063;First_Filter=PASSED;Last_filter=FAILED
>29511258;First_Filter=PASSED;Last_filter=FAILED
>29507784;First_Filter=PASSED;Last_filter=FAILED
>29504942;First_Filter=PASSED;Last_filter=FAILED
>29503750;First_Filter=PASSED;Last_filter=FAILED
>29502585;First_Filter=PASSED;Last_filter=FAILED
>29502583;First_Filter=PASSED;Last_filter=FAILED
>29500985;First_Filter=PASSED;Last_filter=FAILED
>29500022;First_Filter=PASSED;Last_filter=FAILED
>29500020;First_Filter=PASSED;Last_filter=FAILED
>29500006;First_Filter=PASSED;Last_filter=FAILED
>29492241;First_Filter=PASSED;Last_filter=FAILED
>29477755;First_Filter=PASSED;Last_filter=FAILED
>29473970;First_Filter=PASSED;Last_filter=FAILED
>29467421;First_Filter=PASSED;Last_filter=FAILED
>29450538;First_Filter=PASSED;Last_filter=FAILED
>29446451;First_Filter=PASSED;Last_filter=FAILED
>29428081;First_Filter=PASSED;Last_filter=FAILED
>29413986;First_Filter=PASSED;Last_filter=FAILED
>29413172;First_Filter=PASSED;Last_filter=FAILED
>29409736;First_Filter=PASSED;Last_filter=FAILED
>29405981;First_Filter=PASSED;Last_filter=FAILED
>29405289;First_Filter=PASSED;Last_filter=FAILED
>29403567;First_Filter=PASSED;Last_filter=FAILED
>29402533;First_Filter=PASSED;Last_filter=FAILED
>29402532;First_Filter=PASSED;Last_filter=FAILED
>29389679;First_Filter=PASSED;Last_filter=FAILED
>29385611;First_Filter=PASSED;Last_filter=FAILED
>29385403;First_Filter=PASSED;Last_filter=FAILED
>29382633;First_Filter=PASSED;Last_filter=FAILED
>29382181;First_Filter=PASSED;Last_filter=FAILED
>29376122;First_Filter=PASSED;Last_filter=FAILED
>29374138;First_Filter=PASSED;Last_filter=FAILED
>29373850;First_Filter=PASSED;Last_filter=FAILED
>29373082;First_Filter=PASSED;Last_filter=FAILED
>29368525;First_Filter=FAILED;Last_filter=FAILED
>29367653;First_Filter=PASSED;Last_filter=FAILED
>29352006;First_Filter=PASSED;Last_filter=FAILED
>29350398;First_Filter=PASSED;Last_filter=FAILED
>29341027;First_Filter=PASSED;Last_filter=FAILED
>29340580;First_Filter=PASSED;Last_filter=FAILED
>29324649;First_Filter=PASSED;Last_filter=FAILED
>29323205;First_Filter=PASSED;Last_filter=FAILED
>29312134;First_Filter=PASSED;Last_filter=FAILED
>29305324;First_Filter=PASSED;Last_filter=FAILED
>29301991;First_Filter=PASSED;Last_filter=FAILED
>29298978;First_Filter=PASSED;Last_filter=FAILED
>29279970;First_Filter=PASSED;Last_filter=FAILED
>29278490;First_Filter=PASSED;Last_filter=FAILED
>29272325;First_Filter=PASSED;Last_filter=FAILED
>29269039;First_Filter=PASSED;Last_filter=FAILED
>29261781;First_Filter=PASSED;Last_filter=FAILED
>29261408;First_Filter=PASSED;Last_filter=FAILED
>29246519;First_Filter=PASSED;Last_filter=FAILED
>29241666;First_Filter=PASSED;Last_filter=FAILED
>29237568;First_Filter=PASSED;Last_filter=FAILED
>29237237;First_Filter=PASSED;Last_filter=FAILED
>29235918;First_Filter=PASSED;Last_filter=FAILED
>29235916;First_Filter=PASSED;Last_filter=FAILED
>29235914;First_Filter=PASSED;Last_filter=FAILED
>29235174;First_Filter=PASSED;Last_filter=FAILED
>29227306;First_Filter=PASSED;Last_filter=FAILED
>29222076;First_Filter=PASSED;Last_filter=FAILED
>29218890;First_Filter=PASSED;Last_filter=FAILED
>29215763;First_Filter=PASSED;Last_filter=FAILED
>29199918;First_Filter=PASSED;Last_filter=FAILED
>29194464;First_Filter=PASSED;Last_filter=FAILED
>29194052;First_Filter=PASSED;Last_filter=FAILED
>29188348;First_Filter=FAILED;Last_filter=FAILED
>29187563;First_Filter=PASSED;Last_filter=FAILED
>29180800;First_Filter=PASSED;Last_filter=FAILED
>29179711;First_Filter=PASSED;Last_filter=FAILED
>29171014;First_Filter=PASSED;Last_filter=FAILED
>29151574;First_Filter=PASSED;Last_filter=FAILED
>29147562;First_Filter=PASSED;Last_filter=FAILED
>29147518;First_Filter=PASSED;Last_filter=FAILED
>29132615;First_Filter=PASSED;Last_filter=FAILED
>29126825;First_Filter=PASSED;Last_filter=FAILED
>29117139;First_Filter=PASSED;Last_filter=FAILED
>29109070;First_Filter=PASSED;Last_filter=FAILED
>29101418;First_Filter=FAILED;Last_filter=FAILED
>29086438;First_Filter=PASSED;Last_filter=FAILED
>29085292;First_Filter=PASSED;Last_filter=FAILED
>29079522;First_Filter=PASSED;Last_filter=FAILED
>29063545;First_Filter=PASSED;Last_filter=FAILED
>29057395;First_Filter=PASSED;Last_filter=FAILED
>29046267;First_Filter=PASSED;Last_filter=FAILED
>29042219;First_Filter=PASSED;Last_filter=FAILED
>29042152;First_Filter=PASSED;Last_filter=FAILED
>29038732;First_Filter=PASSED;Last_filter=FAILED
>29029305;First_Filter=PASSED;Last_filter=FAILED
>29026108;First_Filter=PASSED;Last_filter=FAILED
>28993656;First_Filter=PASSED;Last_filter=FAILED
>28992453;First_Filter=PASSED;Last_filter=FAILED
>28984189;First_Filter=PASSED;Last_filter=FAILED
>28981453;First_Filter=PASSED;Last_filter=FAILED
>28968709;First_Filter=PASSED;Last_filter=FAILED
>28968677;First_Filter=PASSED;Last_filter=FAILED
>28967349;First_Filter=PASSED;Last_filter=FAILED
>28959135;First_Filter=PASSED;Last_filter=FAILED
>28956864;First_Filter=PASSED;Last_filter=FAILED
>28949964;First_Filter=PASSED;Last_filter=FAILED
>28949092;First_Filter=PASSED;Last_filter=FAILED
>28948531;First_Filter=PASSED;Last_filter=FAILED
>28933947;First_Filter=PASSED;Last_filter=FAILED
>28932174;First_Filter=PASSED;Last_filter=FAILED
>28926775;First_Filter=PASSED;Last_filter=FAILED
>28922596;First_Filter=PASSED;Last_filter=FAILED
>28918672;First_Filter=PASSED;Last_filter=FAILED
>28918390;First_Filter=PASSED;Last_filter=FAILED
>28912801;First_Filter=PASSED;Last_filter=FAILED
>28899706;First_Filter=PASSED;Last_filter=FAILED
>28894245;First_Filter=PASSED;Last_filter=FAILED
>28887351;First_Filter=PASSED;Last_filter=FAILED
>28881183;First_Filter=PASSED;Last_filter=FAILED
>28880333;First_Filter=PASSED;Last_filter=FAILED
>28875035;First_Filter=PASSED;Last_filter=FAILED
>28867810;First_Filter=PASSED;Last_filter=FAILED
>28866555;First_Filter=PASSED;Last_filter=FAILED
>28859346;First_Filter=PASSED;Last_filter=FAILED
>28853484;First_Filter=PASSED;Last_filter=FAILED
>28851678;First_Filter=PASSED;Last_filter=FAILED
>28848388;First_Filter=PASSED;Last_filter=FAILED
>28836909;First_Filter=PASSED;Last_filter=FAILED
>28830106;First_Filter=PASSED;Last_filter=FAILED
>28829624;First_Filter=PASSED;Last_filter=FAILED
>28807870;First_Filter=PASSED;Last_filter=FAILED
>28802713;First_Filter=PASSED;Last_filter=FAILED
>28797242;First_Filter=PASSED;Last_filter=FAILED
>28774444;First_Filter=PASSED;Last_filter=FAILED
>28774262;First_Filter=PASSED;Last_filter=FAILED
>28770216;First_Filter=PASSED;Last_filter=FAILED
>28748430;First_Filter=PASSED;Last_filter=FAILED
>28728937;First_Filter=PASSED;Last_filter=FAILED
>28715190;First_Filter=PASSED;Last_filter=FAILED
>28692138;First_Filter=PASSED;Last_filter=FAILED
>28686739;First_Filter=PASSED;Last_filter=FAILED
>28670152;First_Filter=PASSED;Last_filter=FAILED
>28668006;First_Filter=PASSED;Last_filter=FAILED
>28666387;First_Filter=PASSED;Last_filter=FAILED
>28662045;First_Filter=PASSED;Last_filter=FAILED
>28634997;First_Filter=PASSED;Last_filter=FAILED
>28632438;First_Filter=PASSED;Last_filter=FAILED
>28632437;First_Filter=PASSED;Last_filter=FAILED
>28626296;First_Filter=PASSED;Last_filter=FAILED
>28600868;First_Filter=PASSED;Last_filter=FAILED
>28583429;First_Filter=PASSED;Last_filter=FAILED
>28575140;First_Filter=PASSED;Last_filter=FAILED
>28570703;First_Filter=PASSED;Last_filter=FAILED
>28545640;First_Filter=PASSED;Last_filter=FAILED
>28527522;First_Filter=PASSED;Last_filter=FAILED
>28520598;First_Filter=PASSED;Last_filter=FAILED
>28474419;First_Filter=PASSED;Last_filter=FAILED
>28473150;First_Filter=PASSED;Last_filter=FAILED
>28472273;First_Filter=PASSED;Last_filter=FAILED
>28456584;First_Filter=PASSED;Last_filter=FAILED
>28436893;First_Filter=PASSED;Last_filter=FAILED
>28422856;First_Filter=PASSED;Last_filter=FAILED
>28413974;First_Filter=PASSED;Last_filter=FAILED
>28394393;First_Filter=PASSED;Last_filter=FAILED
>28372961;First_Filter=PASSED;Last_filter=FAILED
>28370082;First_Filter=PASSED;Last_filter=FAILED
>28368170;First_Filter=PASSED;Last_filter=FAILED
>28363289;First_Filter=PASSED;Last_filter=FAILED
>28361707;First_Filter=PASSED;Last_filter=FAILED
>28361689;First_Filter=PASSED;Last_filter=FAILED
>28357901;First_Filter=FAILED;Last_filter=FAILED
>28333183;First_Filter=PASSED;Last_filter=FAILED
>28316616;First_Filter=PASSED;Last_filter=FAILED
>28301733;First_Filter=PASSED;Last_filter=FAILED
>28287984;First_Filter=PASSED;Last_filter=FAILED
>28282239;First_Filter=PASSED;Last_filter=FAILED
>28269875;First_Filter=PASSED;Last_filter=FAILED
>28263942;First_Filter=PASSED;Last_filter=FAILED
>28263941;First_Filter=PASSED;Last_filter=FAILED
>28263937;First_Filter=PASSED;Last_filter=FAILED
>28263936;First_Filter=PASSED;Last_filter=FAILED
>28261530;First_Filter=PASSED;Last_filter=FAILED
>28232122;First_Filter=PASSED;Last_filter=FAILED
>28217081;First_Filter=PASSED;Last_filter=FAILED
>28186006;First_Filter=PASSED;Last_filter=FAILED
>28164232;First_Filter=PASSED;Last_filter=FAILED
>28154050;First_Filter=PASSED;Last_filter=FAILED
>28147685;First_Filter=PASSED;Last_filter=FAILED
>28127429;First_Filter=PASSED;Last_filter=FAILED
>28122121;First_Filter=PASSED;Last_filter=FAILED
>28116551;First_Filter=PASSED;Last_filter=FAILED
>28110106;First_Filter=PASSED;Last_filter=FAILED
>28107565;First_Filter=PASSED;Last_filter=FAILED
>28104273;First_Filter=PASSED;Last_filter=FAILED
>28079723;First_Filter=PASSED;Last_filter=FAILED
>28070484;First_Filter=PASSED;Last_filter=FAILED
>28065610;First_Filter=PASSED;Last_filter=FAILED
>28042838;First_Filter=PASSED;Last_filter=FAILED
>28042608;First_Filter=PASSED;Last_filter=FAILED
>28035989;First_Filter=PASSED;Last_filter=FAILED
>28034409;First_Filter=PASSED;Last_filter=FAILED
>28032396;First_Filter=PASSED;Last_filter=FAILED
>28029644;First_Filter=PASSED;Last_filter=FAILED
>27992262;First_Filter=PASSED;Last_filter=FAILED
>27986855;First_Filter=PASSED;Last_filter=FAILED
>27986644;First_Filter=PASSED;Last_filter=FAILED
>27977088;First_Filter=FAILED;Last_filter=FAILED
>27974883;First_Filter=PASSED;Last_filter=FAILED
>27973671;First_Filter=PASSED;Last_filter=FAILED
>27887770;First_Filter=PASSED;Last_filter=FAILED
>27871876;First_Filter=PASSED;Last_filter=FAILED
>27862002;First_Filter=PASSED;Last_filter=FAILED
>27833159;First_Filter=PASSED;Last_filter=FAILED
>27830258;First_Filter=PASSED;Last_filter=FAILED
>27830257;First_Filter=PASSED;Last_filter=FAILED
>27824584;First_Filter=PASSED;Last_filter=FAILED
>27822312;First_Filter=PASSED;Last_filter=FAILED
>27819294;First_Filter=PASSED;Last_filter=FAILED
>27814027;First_Filter=PASSED;Last_filter=FAILED
>27802931;First_Filter=PASSED;Last_filter=FAILED
>26438655;First_Filter=PASSED;Last_filter=FAILED
>27781485;First_Filter=PASSED;Last_filter=FAILED
>27266594;First_Filter=PASSED;Last_filter=FAILED
>27548044;First_Filter=PASSED;Last_filter=FAILED
>27452181;First_Filter=PASSED;Last_filter=FAILED
>27765959;First_Filter=PASSED;Last_filter=FAILED
>27241666;First_Filter=PASSED;Last_filter=FAILED
>27747607;First_Filter=PASSED;Last_filter=FAILED
>27698038;First_Filter=PASSED;Last_filter=FAILED
>27698035;First_Filter=PASSED;Last_filter=FAILED
>27695919;First_Filter=PASSED;Last_filter=FAILED
>27686428;First_Filter=PASSED;Last_filter=FAILED
>27685652;First_Filter=PASSED;Last_filter=FAILED
>27682033;First_Filter=PASSED;Last_filter=FAILED
>27671088;First_Filter=PASSED;Last_filter=FAILED
>27659841;First_Filter=PASSED;Last_filter=FAILED
>27655959;First_Filter=PASSED;Last_filter=FAILED
>27652177;First_Filter=PASSED;Last_filter=FAILED
>27642720;First_Filter=PASSED;Last_filter=FAILED
>27641707;First_Filter=PASSED;Last_filter=FAILED
>27610328;First_Filter=PASSED;Last_filter=FAILED
>27595047;First_Filter=PASSED;Last_filter=FAILED
>27592382;First_Filter=PASSED;Last_filter=FAILED
>27587087;First_Filter=PASSED;Last_filter=FAILED
>27586524;First_Filter=PASSED;Last_filter=FAILED
>27580970;First_Filter=PASSED;Last_filter=FAILED
>27577240;First_Filter=PASSED;Last_filter=FAILED
>27568339;First_Filter=PASSED;Last_filter=FAILED
>27548182;First_Filter=PASSED;Last_filter=FAILED
>27541627;First_Filter=PASSED;Last_filter=FAILED
>27529225;First_Filter=PASSED;Last_filter=FAILED
>27526849;First_Filter=PASSED;Last_filter=FAILED
>27522632;First_Filter=PASSED;Last_filter=FAILED
>27505613;First_Filter=PASSED;Last_filter=FAILED
>27496860;First_Filter=PASSED;Last_filter=FAILED
>27494614;First_Filter=PASSED;Last_filter=FAILED
>27493624;First_Filter=PASSED;Last_filter=FAILED
>27483216;First_Filter=PASSED;Last_filter=FAILED
>27480748;First_Filter=PASSED;Last_filter=FAILED
>27473064;First_Filter=PASSED;Last_filter=FAILED
>27464907;First_Filter=PASSED;Last_filter=FAILED
>27461154;First_Filter=PASSED;Last_filter=FAILED
>27454257;First_Filter=PASSED;Last_filter=FAILED
>27444562;First_Filter=PASSED;Last_filter=FAILED
>27442958;First_Filter=PASSED;Last_filter=FAILED
>27441712;First_Filter=PASSED;Last_filter=FAILED
>27441585;First_Filter=PASSED;Last_filter=FAILED
>27441584;First_Filter=PASSED;Last_filter=FAILED
>27441408;First_Filter=PASSED;Last_filter=FAILED
>27441407;First_Filter=PASSED;Last_filter=FAILED
>27441405;First_Filter=PASSED;Last_filter=FAILED
>27441404;First_Filter=PASSED;Last_filter=FAILED
>27423409;First_Filter=PASSED;Last_filter=FAILED
>27406289;First_Filter=PASSED;Last_filter=FAILED
>27383691;First_Filter=PASSED;Last_filter=FAILED
>27383622;First_Filter=PASSED;Last_filter=FAILED
>27379211;First_Filter=PASSED;Last_filter=FAILED
>27377323;First_Filter=PASSED;Last_filter=FAILED
>27375358;First_Filter=PASSED;Last_filter=FAILED
>27367425;First_Filter=PASSED;Last_filter=FAILED
>27363613;First_Filter=FAILED;Last_filter=FAILED
>27353971;First_Filter=PASSED;Last_filter=FAILED
>27349830;First_Filter=PASSED;Last_filter=FAILED
>27346990;First_Filter=PASSED;Last_filter=FAILED
>27339328;First_Filter=PASSED;Last_filter=FAILED
>27314659;First_Filter=PASSED;Last_filter=FAILED
>27302506;First_Filter=PASSED;Last_filter=FAILED
>27292550;First_Filter=PASSED;Last_filter=FAILED
>27280018;First_Filter=PASSED;Last_filter=FAILED
>27279732;First_Filter=PASSED;Last_filter=FAILED
>27266599;First_Filter=PASSED;Last_filter=FAILED
>27242402;First_Filter=PASSED;Last_filter=FAILED
>27207370;First_Filter=PASSED;Last_filter=FAILED
>27195004;First_Filter=PASSED;Last_filter=FAILED
>27177941;First_Filter=PASSED;Last_filter=FAILED
>27130797;First_Filter=PASSED;Last_filter=FAILED
>27127694;First_Filter=PASSED;Last_filter=FAILED
>27125586;First_Filter=PASSED;Last_filter=FAILED
>27119951;First_Filter=PASSED;Last_filter=FAILED
>27115650;First_Filter=PASSED;Last_filter=FAILED
>27093710;First_Filter=PASSED;Last_filter=FAILED
>27047994;First_Filter=PASSED;Last_filter=FAILED
>27042689;First_Filter=PASSED;Last_filter=FAILED
>27012503;First_Filter=PASSED;Last_filter=FAILED
>26998312;First_Filter=PASSED;Last_filter=FAILED
>26992706;First_Filter=PASSED;Last_filter=FAILED
>26992568;First_Filter=PASSED;Last_filter=FAILED
>26979668;First_Filter=PASSED;Last_filter=FAILED
>26978837;First_Filter=PASSED;Last_filter=FAILED
>26944035;First_Filter=PASSED;Last_filter=FAILED
>26907860;First_Filter=PASSED;Last_filter=FAILED
>26883371;First_Filter=PASSED;Last_filter=FAILED
>26883067;First_Filter=PASSED;Last_filter=FAILED
>26873929;First_Filter=PASSED;Last_filter=FAILED
>26867072;First_Filter=PASSED;Last_filter=FAILED
>26858916;First_Filter=PASSED;Last_filter=FAILED
>26829605;First_Filter=PASSED;Last_filter=FAILED
>26827299;First_Filter=PASSED;Last_filter=FAILED
>26819493;First_Filter=PASSED;Last_filter=FAILED
>26819243;First_Filter=PASSED;Last_filter=FAILED
>26818456;First_Filter=PASSED;Last_filter=FAILED
>26817711;First_Filter=PASSED;Last_filter=FAILED
>26816399;First_Filter=PASSED;Last_filter=FAILED
>26783204;First_Filter=PASSED;Last_filter=FAILED
>26779665;First_Filter=PASSED;Last_filter=FAILED
>26778951;First_Filter=PASSED;Last_filter=FAILED
>26773901;First_Filter=PASSED;Last_filter=FAILED
>26772057;First_Filter=PASSED;Last_filter=FAILED
>26756101;First_Filter=PASSED;Last_filter=FAILED
>26728004;First_Filter=PASSED;Last_filter=FAILED
>28428496;First_Filter=FAILED;Last_filter=FAILED
>26690682;First_Filter=PASSED;Last_filter=FAILED
>26689499;First_Filter=PASSED;Last_filter=FAILED
>26685270;First_Filter=PASSED;Last_filter=FAILED
>26681933;First_Filter=PASSED;Last_filter=FAILED
>26679719;First_Filter=PASSED;Last_filter=FAILED
>26674745;First_Filter=PASSED;Last_filter=FAILED
>26673930;First_Filter=PASSED;Last_filter=FAILED
>26672033;First_Filter=PASSED;Last_filter=FAILED
>29220977;First_Filter=PASSED;Last_filter=FAILED
>26600156;First_Filter=PASSED;Last_filter=FAILED
>26577265;First_Filter=PASSED;Last_filter=FAILED
>26574412;First_Filter=PASSED;Last_filter=FAILED
>26539502;First_Filter=PASSED;Last_filter=FAILED
>26534722;First_Filter=PASSED;Last_filter=FAILED
>26533893;First_Filter=PASSED;Last_filter=FAILED
>26529774;First_Filter=PASSED;Last_filter=FAILED
>26487984;First_Filter=PASSED;Last_filter=FAILED
>26487983;First_Filter=PASSED;Last_filter=FAILED
>26476638;First_Filter=PASSED;Last_filter=FAILED
>26476414;First_Filter=PASSED;Last_filter=FAILED
>26468133;First_Filter=PASSED;Last_filter=FAILED
>26460190;First_Filter=PASSED;Last_filter=FAILED
>26437432;First_Filter=PASSED;Last_filter=FAILED
>26433049;First_Filter=PASSED;Last_filter=FAILED
>26417431;First_Filter=PASSED;Last_filter=FAILED
>26417393;First_Filter=PASSED;Last_filter=FAILED
>26411868;First_Filter=PASSED;Last_filter=FAILED
>26362267;First_Filter=PASSED;Last_filter=FAILED
>26345079;First_Filter=PASSED;Last_filter=FAILED
>26342255;First_Filter=PASSED;Last_filter=FAILED
>26295449;First_Filter=PASSED;Last_filter=FAILED
>26286658;First_Filter=PASSED;Last_filter=FAILED
>26272077;First_Filter=PASSED;Last_filter=FAILED
>26264172;First_Filter=PASSED;Last_filter=FAILED
>26262005;First_Filter=PASSED;Last_filter=FAILED
>26208307;First_Filter=PASSED;Last_filter=FAILED
>26205246;First_Filter=PASSED;Last_filter=FAILED
>26173907;First_Filter=PASSED;Last_filter=FAILED
>26150785;First_Filter=PASSED;Last_filter=FAILED
>26141245;First_Filter=FAILED;Last_filter=FAILED
>26119754;First_Filter=PASSED;Last_filter=FAILED
>26092722;First_Filter=PASSED;Last_filter=FAILED
>26087487;First_Filter=PASSED;Last_filter=FAILED
>26079845;First_Filter=PASSED;Last_filter=FAILED
>26065052;First_Filter=FAILED;Last_filter=FAILED
>28516162;First_Filter=PASSED;Last_filter=FAILED
>25991273;First_Filter=PASSED;Last_filter=FAILED
>25991137;First_Filter=PASSED;Last_filter=FAILED
>25984606;First_Filter=PASSED;Last_filter=FAILED
>25963029;First_Filter=PASSED;Last_filter=FAILED
>25952938;First_Filter=PASSED;Last_filter=FAILED
>25941488;First_Filter=PASSED;Last_filter=FAILED
>25937823;First_Filter=PASSED;Last_filter=FAILED
>25914504;First_Filter=PASSED;Last_filter=FAILED
>25910101;First_Filter=PASSED;Last_filter=FAILED
>25888834;First_Filter=PASSED;Last_filter=FAILED
>25886979;First_Filter=PASSED;Last_filter=FAILED
>25879039;First_Filter=PASSED;Last_filter=FAILED
>25870759;First_Filter=PASSED;Last_filter=FAILED
>25868337;First_Filter=FAILED;Last_filter=FAILED
>25861214;First_Filter=PASSED;Last_filter=FAILED
>25849935;First_Filter=PASSED;Last_filter=FAILED
>25839250;First_Filter=PASSED;Last_filter=FAILED
>25832646;First_Filter=PASSED;Last_filter=FAILED
>25823046;First_Filter=PASSED;Last_filter=FAILED
>25807574;First_Filter=PASSED;Last_filter=FAILED
>25797506;First_Filter=PASSED;Last_filter=FAILED
>25787786;First_Filter=PASSED;Last_filter=FAILED
>25773550;First_Filter=PASSED;Last_filter=FAILED
>25773546;First_Filter=PASSED;Last_filter=FAILED
>25765323;First_Filter=PASSED;Last_filter=FAILED
>25762912;First_Filter=PASSED;Last_filter=FAILED
>25729356;First_Filter=PASSED;Last_filter=FAILED
>27442844;First_Filter=PASSED;Last_filter=FAILED
>27442843;First_Filter=PASSED;Last_filter=FAILED
>25715585;First_Filter=FAILED;Last_filter=FAILED
>25708662;First_Filter=PASSED;Last_filter=FAILED
>25656756;First_Filter=PASSED;Last_filter=FAILED
>25626382;First_Filter=FAILED;Last_filter=FAILED
>25622335;First_Filter=PASSED;Last_filter=FAILED
>25600172;First_Filter=PASSED;Last_filter=FAILED
>25592575;First_Filter=PASSED;Last_filter=FAILED
>25583507;First_Filter=PASSED;Last_filter=FAILED
>25553271;First_Filter=PASSED;Last_filter=FAILED
>27796014;First_Filter=PASSED;Last_filter=FAILED
>27199552;First_Filter=PASSED;Last_filter=FAILED
>25516725;First_Filter=PASSED;Last_filter=FAILED
>25466337;First_Filter=PASSED;Last_filter=FAILED
>25462632;First_Filter=PASSED;Last_filter=FAILED
>25458128;First_Filter=PASSED;Last_filter=FAILED
>29226916;First_Filter=PASSED;Last_filter=FAILED
>25361517;First_Filter=PASSED;Last_filter=FAILED
>25350106;First_Filter=PASSED;Last_filter=FAILED
>25302877;First_Filter=PASSED;Last_filter=FAILED
>25223304;First_Filter=PASSED;Last_filter=FAILED
>25215285;First_Filter=PASSED;Last_filter=FAILED
>25182276;First_Filter=PASSED;Last_filter=FAILED
>27532062;First_Filter=PASSED;Last_filter=FAILED
>25143968;First_Filter=PASSED;Last_filter=FAILED
>25123745;First_Filter=PASSED;Last_filter=FAILED
>25117552;First_Filter=PASSED;Last_filter=FAILED
>25083350;First_Filter=PASSED;Last_filter=FAILED
>25068389;First_Filter=PASSED;Last_filter=FAILED
>25029489;First_Filter=PASSED;Last_filter=FAILED
>25022322;First_Filter=PASSED;Last_filter=FAILED
>25000030;First_Filter=PASSED;Last_filter=FAILED
>25000009;First_Filter=PASSED;Last_filter=FAILED
>24987556;First_Filter=PASSED;Last_filter=FAILED
>24969690;First_Filter=PASSED;Last_filter=FAILED
>24859031;First_Filter=PASSED;Last_filter=FAILED
>24853034;First_Filter=PASSED;Last_filter=FAILED
>24799088;First_Filter=PASSED;Last_filter=FAILED
>24778462;First_Filter=PASSED;Last_filter=FAILED
>24645690;First_Filter=PASSED;Last_filter=FAILED
>24625719;First_Filter=PASSED;Last_filter=FAILED
>27447306;First_Filter=PASSED;Last_filter=FAILED
>24529915;First_Filter=PASSED;Last_filter=FAILED
>24465462;First_Filter=PASSED;Last_filter=FAILED
>24361690;First_Filter=PASSED;Last_filter=FAILED
>24338557;First_Filter=PASSED;Last_filter=FAILED
>24267033;First_Filter=PASSED;Last_filter=FAILED
>27447257;First_Filter=PASSED;Last_filter=FAILED
>27447253;First_Filter=PASSED;Last_filter=FAILED
>24124417;First_Filter=PASSED;Last_filter=FAILED
>24110019;First_Filter=PASSED;Last_filter=FAILED
>24048409;First_Filter=PASSED;Last_filter=FAILED
>24027761;First_Filter=PASSED;Last_filter=FAILED
>27442200;First_Filter=PASSED;Last_filter=FAILED
>27442199;First_Filter=PASSED;Last_filter=FAILED
>23849655;First_Filter=PASSED;Last_filter=FAILED
>27442066;First_Filter=PASSED;Last_filter=FAILED
>23666777;First_Filter=PASSED;Last_filter=FAILED
>23653617;First_Filter=PASSED;Last_filter=FAILED
>23366988;First_Filter=PASSED;Last_filter=FAILED
>23148517;First_Filter=PASSED;Last_filter=FAILED
>23031190;First_Filter=PASSED;Last_filter=FAILED
>22685456;First_Filter=PASSED;Last_filter=FAILED
>21841892;First_Filter=PASSED;Last_filter=FAILED
>15274126;First_Filter=PASSED;Last_filter=FAILED
>27899373;First_Filter=PASSED;Last_filter=FAILED
