machine learning;SjS;report
Total_number_of_articles;1075
>23254332;First_Filter=FAILED;Last_filter=PASSED
>29702670;First_Filter=PASSED;Last_filter=PASSED
>29698784;First_Filter=PASSED;Last_filter=FAILED
>29695376;First_Filter=PASSED;Last_filter=PASSED
>29678056;First_Filter=PASSED;Last_filter=PASSED
>29665779;First_Filter=PASSED;Last_filter=FAILED
>29659528;First_Filter=PASSED;Last_filter=PASSED
>29650646;First_Filter=PASSED;Last_filter=FAILED
>29643760;First_Filter=PASSED;Last_filter=FAILED
>29626082;First_Filter=PASSED;Last_filter=PASSED
>29625053;First_Filter=PASSED;Last_filter=PASSED
>29615005;First_Filter=PASSED;Last_filter=PASSED
>29613851;First_Filter=PASSED;Last_filter=FAILED
>29611842;First_Filter=PASSED;Last_filter=PASSED
>29596342;First_Filter=PASSED;Last_filter=PASSED
>29561777;First_Filter=PASSED;Last_filter=FAILED
>29559945;First_Filter=PASSED;Last_filter=PASSED
>29558944;First_Filter=PASSED;Last_filter=FAILED
>29553732;First_Filter=PASSED;Last_filter=PASSED
>29538103;First_Filter=PASSED;Last_filter=PASSED
>29530097;First_Filter=PASSED;Last_filter=PASSED
>29529829;First_Filter=PASSED;Last_filter=PASSED
>29528822;First_Filter=PASSED;Last_filter=FAILED
>29523200;First_Filter=PASSED;Last_filter=FAILED
>28928948;First_Filter=PASSED;Last_filter=PASSED
>29508619;First_Filter=PASSED;Last_filter=FAILED
>29505032;First_Filter=PASSED;Last_filter=FAILED
>29504897;First_Filter=PASSED;Last_filter=FAILED
>29488902;First_Filter=PASSED;Last_filter=PASSED
>29461955;First_Filter=PASSED;Last_filter=FAILED
>29435343;First_Filter=PASSED;Last_filter=FAILED
>29425590;First_Filter=PASSED;Last_filter=FAILED
>29420578;First_Filter=PASSED;Last_filter=FAILED
>29402532;First_Filter=PASSED;Last_filter=FAILED
>29401917;First_Filter=PASSED;Last_filter=FAILED
>29396123;First_Filter=PASSED;Last_filter=PASSED
>29391341;First_Filter=PASSED;Last_filter=FAILED
>29391206;First_Filter=PASSED;Last_filter=FAILED
>29381109;First_Filter=PASSED;Last_filter=FAILED
>29380208;First_Filter=PASSED;Last_filter=PASSED
>29380122;First_Filter=PASSED;Last_filter=PASSED
>29379630;First_Filter=PASSED;Last_filter=FAILED
>29374661;First_Filter=PASSED;Last_filter=PASSED
>29373720;First_Filter=PASSED;Last_filter=FAILED
>29361863;First_Filter=PASSED;Last_filter=PASSED
>29358019;First_Filter=PASSED;Last_filter=FAILED
>29348406;First_Filter=PASSED;Last_filter=FAILED
>29329334;First_Filter=PASSED;Last_filter=PASSED
>29327813;First_Filter=PASSED;Last_filter=PASSED
>29317355;First_Filter=PASSED;Last_filter=PASSED
>29306979;First_Filter=PASSED;Last_filter=FAILED
>29295168;First_Filter=PASSED;Last_filter=FAILED
>29285887;First_Filter=PASSED;Last_filter=FAILED
>29274047;First_Filter=PASSED;Last_filter=PASSED
>29269244;First_Filter=PASSED;Last_filter=PASSED
>29259769;First_Filter=PASSED;Last_filter=PASSED
>29254878;First_Filter=PASSED;Last_filter=FAILED
>29238300;First_Filter=PASSED;Last_filter=PASSED
>29234023;First_Filter=PASSED;Last_filter=PASSED
>29229851;First_Filter=PASSED;Last_filter=FAILED
>29218882;First_Filter=PASSED;Last_filter=PASSED
>29201281;First_Filter=PASSED;Last_filter=FAILED
>29188759;First_Filter=PASSED;Last_filter=FAILED
>29183987;First_Filter=PASSED;Last_filter=PASSED
>29174666;First_Filter=PASSED;Last_filter=PASSED
>29162279;First_Filter=PASSED;Last_filter=FAILED
>29153840;First_Filter=PASSED;Last_filter=FAILED
>29135365;First_Filter=PASSED;Last_filter=FAILED
>29134430;First_Filter=PASSED;Last_filter=FAILED
>29133589;First_Filter=PASSED;Last_filter=FAILED
>29093610;First_Filter=PASSED;Last_filter=PASSED
>29086046;First_Filter=PASSED;Last_filter=PASSED
>29079959;First_Filter=PASSED;Last_filter=PASSED
>29076307;First_Filter=PASSED;Last_filter=FAILED
>29074769;First_Filter=PASSED;Last_filter=PASSED
>29072073;First_Filter=PASSED;Last_filter=PASSED
>29071750;First_Filter=PASSED;Last_filter=PASSED
>29068431;First_Filter=PASSED;Last_filter=PASSED
>29066897;First_Filter=PASSED;Last_filter=PASSED
>29063566;First_Filter=PASSED;Last_filter=PASSED
>29063560;First_Filter=PASSED;Last_filter=PASSED
>29063553;First_Filter=PASSED;Last_filter=FAILED
>29063550;First_Filter=PASSED;Last_filter=PASSED
>29063549;First_Filter=PASSED;Last_filter=FAILED
>29063545;First_Filter=PASSED;Last_filter=FAILED
>29058357;First_Filter=PASSED;Last_filter=FAILED
>29047157;First_Filter=PASSED;Last_filter=PASSED
>29046267;First_Filter=PASSED;Last_filter=PASSED
>29044152;First_Filter=PASSED;Last_filter=PASSED
>29039725;First_Filter=PASSED;Last_filter=FAILED
>29038732;First_Filter=PASSED;Last_filter=PASSED
>29038651;First_Filter=PASSED;Last_filter=FAILED
>29036354;First_Filter=PASSED;Last_filter=PASSED
>29029029;First_Filter=PASSED;Last_filter=FAILED
>29027789;First_Filter=PASSED;Last_filter=PASSED
>29021342;First_Filter=PASSED;Last_filter=PASSED
>29017921;First_Filter=PASSED;Last_filter=PASSED
>29016825;First_Filter=PASSED;Last_filter=FAILED
>28993979;First_Filter=PASSED;Last_filter=PASSED
>28988802;First_Filter=PASSED;Last_filter=PASSED
>28980865;First_Filter=PASSED;Last_filter=PASSED
>28979001;First_Filter=PASSED;Last_filter=PASSED
>28973260;First_Filter=PASSED;Last_filter=FAILED
>28971622;First_Filter=PASSED;Last_filter=PASSED
>28966822;First_Filter=PASSED;Last_filter=PASSED
>28963546;First_Filter=PASSED;Last_filter=PASSED
>28960990;First_Filter=PASSED;Last_filter=PASSED
>28957217;First_Filter=PASSED;Last_filter=PASSED
>28952933;First_Filter=PASSED;Last_filter=PASSED
>28927724;First_Filter=PASSED;Last_filter=PASSED
>28926232;First_Filter=PASSED;Last_filter=PASSED
>28918672;First_Filter=PASSED;Last_filter=PASSED
>28910655;First_Filter=PASSED;Last_filter=PASSED
>28894368;First_Filter=PASSED;Last_filter=FAILED
>28866570;First_Filter=PASSED;Last_filter=FAILED
>28866562;First_Filter=PASSED;Last_filter=PASSED
>28860874;First_Filter=PASSED;Last_filter=FAILED
>28855012;First_Filter=PASSED;Last_filter=PASSED
>28853645;First_Filter=PASSED;Last_filter=PASSED
>28841565;First_Filter=PASSED;Last_filter=PASSED
>28823587;First_Filter=PASSED;Last_filter=FAILED
>28815118;First_Filter=PASSED;Last_filter=PASSED
>28800580;First_Filter=PASSED;Last_filter=FAILED
>28793147;First_Filter=PASSED;Last_filter=FAILED
>28782945;First_Filter=PASSED;Last_filter=FAILED
>28770474;First_Filter=PASSED;Last_filter=FAILED
>28769034;First_Filter=PASSED;Last_filter=PASSED
>28750905;First_Filter=PASSED;Last_filter=PASSED
>28739578;First_Filter=PASSED;Last_filter=PASSED
>28736770;First_Filter=PASSED;Last_filter=PASSED
>28736569;First_Filter=PASSED;Last_filter=FAILED
>28735735;First_Filter=PASSED;Last_filter=PASSED
>28731335;First_Filter=PASSED;Last_filter=PASSED
>28730182;First_Filter=PASSED;Last_filter=PASSED
>28718087;First_Filter=PASSED;Last_filter=PASSED
>28717555;First_Filter=PASSED;Last_filter=PASSED
>28708548;First_Filter=PASSED;Last_filter=PASSED
>28708060;First_Filter=PASSED;Last_filter=PASSED
>28684387;First_Filter=PASSED;Last_filter=FAILED
>28678808;First_Filter=PASSED;Last_filter=PASSED
>28666178;First_Filter=PASSED;Last_filter=FAILED
>28646991;First_Filter=PASSED;Last_filter=FAILED
>28638239;First_Filter=PASSED;Last_filter=FAILED
>28635678;First_Filter=PASSED;Last_filter=FAILED
>28628331;First_Filter=PASSED;Last_filter=FAILED
>28624633;First_Filter=PASSED;Last_filter=PASSED
>28623343;First_Filter=PASSED;Last_filter=PASSED
>28597010;First_Filter=PASSED;Last_filter=PASSED
>28580720;First_Filter=PASSED;Last_filter=FAILED
>28573205;First_Filter=PASSED;Last_filter=FAILED
>28544272;First_Filter=PASSED;Last_filter=PASSED
>28542831;First_Filter=PASSED;Last_filter=PASSED
>28542248;First_Filter=PASSED;Last_filter=PASSED
>28525590;First_Filter=PASSED;Last_filter=FAILED
>28522086;First_Filter=PASSED;Last_filter=FAILED
>28521503;First_Filter=PASSED;Last_filter=FAILED
>28506958;First_Filter=PASSED;Last_filter=PASSED
>28487265;First_Filter=PASSED;Last_filter=PASSED
>28487007;First_Filter=PASSED;Last_filter=FAILED
>28480121;First_Filter=PASSED;Last_filter=PASSED
>28472651;First_Filter=PASSED;Last_filter=PASSED
>28451691;First_Filter=PASSED;Last_filter=FAILED
>28450190;First_Filter=PASSED;Last_filter=FAILED
>28434153;First_Filter=PASSED;Last_filter=FAILED
>28428140;First_Filter=PASSED;Last_filter=PASSED
>28423793;First_Filter=PASSED;Last_filter=FAILED
>28423569;First_Filter=PASSED;Last_filter=FAILED
>28418682;First_Filter=PASSED;Last_filter=PASSED
>28418441;First_Filter=PASSED;Last_filter=FAILED
>28405516;First_Filter=PASSED;Last_filter=FAILED
>28396068;First_Filter=PASSED;Last_filter=PASSED
>28395661;First_Filter=PASSED;Last_filter=PASSED
>28391822;First_Filter=PASSED;Last_filter=FAILED
